Open,High,Low,Close,Volume,smoothed_close,Is_High,Is_Low,Up Trend,Down Trend,Trend
6260.176,6264.917,6260.176,6264.734,150,6262.9532019075305,,,A,,
6264.328,6264.652,6262.187,6263.59,150,6264.7728542158375,,,A,,
6263.675,6266.742,6263.377,6266.331,150,6266.125109027902,,,A,,
6266.406,6267.252,6264.827,6266.985,149,6266.434361013341,,,A,,
6267.111,6268.18,6264.436,6266.141,150,6265.9542922289265,,,A,,
6266.18,6267.746,6265.168,6265.577,150,6266.636280787207,,,A,,
6265.523,6268.257,6265.523,6268.257,150,6268.179637362603,,,A,,
6268.156,6270.181,6267.618,6270.138,150,6269.344031897403,,,A,,
6270.372,6271.116,6269.537,6270.271,150,6270.526457257338,,,A,,
6270.269,6271.787,6269.305,6270.789,149,6270.463669533578,,,A,,
6270.781,6272.457,6269.207,6269.443,148,6270.318791353508,,,A,,
6269.594,6272.379,6267.92,6271.685,150,6271.3410617800955,,,A,,
6271.799,6274.832,6271.799,6272.914,149,6272.785940229243,,,A,,
6273.014,6275.643,6272.848,6273.797,149,6273.724152505357,,,A,,
6273.868,6275.128,6272.133,6274.916,150,6274.38326126825,,,A,,
6274.558,6274.725,6272.818,6274.532,149,6275.484987745431,,,A,,
6274.801,6275.057,6273.333,6274.853,150,6275.5676510917565,6275.057,,A,,
6274.448,6276.265,6273.777,6276.009,149,6274.34149562009,,,A,B,
6275.923,6276.076,6272.07,6272.133,150,6271.846024224505,,,,B,
6272.279,6272.743,6267.012,6268.173,150,6269.114807102738,,,,B,
6268.109,6268.109,6266.12,6266.699,150,6267.987599672521,,6266.12,,B,
6266.652,6269.968,6266.128,6269.968,148,6268.154213214009,,,,B,
6270.104,6270.131,6268.04,6268.748,150,6268.9024304706,,,,B,
6269.006,6269.997,6267.701,6268.533,150,6268.986128545699,6269.997,,,B,
6268.625,6270.168,6266.477,6268.223,150,6267.704915192792,,,,B,
6268.042,6268.123,6265.698,6266.198,150,6267.138619863752,,6265.698,,B,
6266.504,6269.245,6266.504,6268.939,150,6268.164291824851,,,,,
6268.892,6269.985,6267.312,6268.552,150,6269.115933903071,6269.985,,,,
6268.77,6270.636,6267.681,6269.35,148,6269.04178718078,,,,,
6269.074,6270.776,6268.673,6269.529,150,6268.65630218958,,,,,
6269.477,6269.622,6266.397,6266.79,150,6267.900072818297,,6266.397,,,
6266.8,6268.976,6266.341,6267.714,150,6268.181074971983,,,,,
6267.842,6270.124,6266.695,6270.124,150,6269.07336128227,6270.124,,,,
6269.997,6270.254,6267.812,6268.599,150,6268.942489024912,,,,,
6268.361,6270.285,6267.978,6268.743,150,6268.366235828053,,,,,
6268.641,6269.556,6267.262,6267.299,150,6267.361776816204,,,,,
6267.046,6267.279,6263.648,6266.159,149,6267.275247673664,,6263.648,,,
6266.07,6270.023,6266.07,6269.063,150,6268.171272037525,,,,,
6269.024,6269.398,6266.754,6269.169,150,6268.881378108234,6269.398,,,C,
6269.258,6269.827,6267.187,6268.074,150,6268.477066626248,,,,C,
6268.074,6268.171,6266.155,6266.982,149,6267.002971055016,,,,C,
6266.775,6267.441,6265.043,6265.22,150,6265.233995419214,,,,C,
6265.545,6266.022,6263.964,6265.446,149,6264.769810064584,,6263.964,,,
6265.39,6266.157,6264.296,6265.226,150,6266.358096913227,,,,,
6265.389,6268.745,6265.024,6268.745,150,6268.526221021193,,,,,
6268.927,6271.603,6267.933,6270.964,149,6270.4426862248965,,,,,
6270.987,6272.133,6270.288,6270.769,150,6270.734936460439,6272.133,,,,
6270.944,6271.844,6268.158,6270.384,150,6270.060518234666,,,,,
6270.358,6270.941,6268.534,6268.755,149,6269.969430335904,,6268.534,,,
6269.029,6270.713,6268.753,6270.397,150,6270.108136352843,,,,,
6270.484,6271.367,6269.701,6271.111,149,6270.613147525203,6271.367,,,D,
6271.124,6271.259,6269.402,6271.056,149,6270.376612998368,,,,D,
6270.998,6271.209,6267.594,6267.798,150,6269.014265307046,,,,D,
6267.893,6268.621,6266.415,6266.897,150,6267.083316323561,,,,D,
6266.984,6269.393,6266.896,6267.092,150,6265.732024898214,,,,D,
6267.038,6267.27,6263.75,6263.977,150,6264.983615018089,,,,D,
6263.885,6264.741,6262.505,6264.213,150,6264.295008880061,,,,,
6264.139,6265.026,6263.165,6264.851,148,6264.097395607773,,6263.165,,,
6264.816,6266.145,6263.712,6264.064,150,6264.409304209166,,,,,
6263.993,6264.755,6262.54,6264.755,150,6265.453367743838,,,,,
