time,Open,High,Low,Close,Volume,spread,Volume
2026-05-14 17:10:00,1.16776,1.16785,1.16761,1.1676199999999999,227,2,0
2026-05-14 17:20:00,1.1676199999999999,1.16788,1.16759,1.16779,304,2,0
2026-05-14 17:30:00,1.16779,1.16804,1.16769,1.168,281,2,0
2026-05-14 17:40:00,1.168,1.16805,1.16782,1.16803,230,2,0
2026-05-14 17:50:00,1.16803,1.16807,1.16773,1.16779,182,2,0
2026-05-14 18:00:00,1.16779,1.16779,1.16748,1.16761,420,2,0
2026-05-14 18:10:00,1.16761,1.16783,1.16761,1.16779,218,2,0
2026-05-14 18:20:00,1.16779,1.16784,1.16758,1.16766,293,2,0
2026-05-14 18:30:00,1.16766,1.16772,1.16749,1.16753,166,2,0
2026-05-14 18:40:00,1.16753,1.16764,1.16738,1.16763,233,2,0
2026-05-14 18:50:00,1.16763,1.16774,1.16742,1.16774,259,2,0
2026-05-14 19:00:00,1.16774,1.16789,1.16766,1.16775,166,2,0
2026-05-14 19:10:00,1.16775,1.16777,1.16753,1.16753,223,2,0
2026-05-14 19:20:00,1.16753,1.1676199999999999,1.16733,1.16737,244,2,0
2026-05-14 19:30:00,1.16737,1.16747,1.16724,1.1672500000000001,286,2,0
2026-05-14 19:40:00,1.1672500000000001,1.16727,1.16694,1.16704,296,2,0
2026-05-14 19:50:00,1.16704,1.16708,1.16685,1.16707,426,2,0
2026-05-14 20:00:00,1.16707,1.1672,1.16679,1.16698,229,2,0
2026-05-14 20:10:00,1.16698,1.16699,1.16682,1.16692,132,2,0
2026-05-14 20:20:00,1.16692,1.16696,1.16657,1.16667,176,2,0
2026-05-14 20:30:00,1.16667,1.16681,1.16661,1.16676,178,2,0
2026-05-14 20:40:00,1.16676,1.16682,1.16667,1.16676,203,2,0
2026-05-14 20:50:00,1.16676,1.16689,1.16673,1.1668,160,2,0
2026-05-14 21:00:00,1.1666400000000001,1.16669,1.16649,1.16669,14,46,0
2026-05-14 21:10:00,1.16669,1.16669,1.16657,1.16658,21,36,0
2026-05-14 21:20:00,1.16658,1.16696,1.16658,1.16696,57,32,0
2026-05-14 21:30:00,1.16696,1.1672,1.16696,1.16715,60,20,0
2026-05-14 21:40:00,1.16715,1.16715,1.16668,1.16679,58,18,0
2026-05-14 21:50:00,1.16679,1.16684,1.16675,1.16679,45,36,0
2026-05-14 22:00:00,1.16679,1.1671,1.16679,1.16702,126,3,0
2026-05-14 22:10:00,1.16702,1.16705,1.16686,1.16692,154,3,0
2026-05-14 22:20:00,1.16692,1.16703,1.16688,1.16697,75,2,0
2026-05-14 22:30:00,1.16697,1.16702,1.16692,1.16697,176,3,0
2026-05-14 22:40:00,1.16697,1.16708,1.16697,1.16702,69,2,0
2026-05-14 22:50:00,1.16702,1.16708,1.16692,1.16694,95,3,0
2026-05-14 23:00:00,1.16694,1.16695,1.16656,1.16657,154,2,0
2026-05-14 23:10:00,1.16657,1.16657,1.1662,1.16628,277,2,0
2026-05-14 23:20:00,1.16628,1.16641,1.16622,1.1663999999999999,112,2,0
2026-05-14 23:30:00,1.1663999999999999,1.1663999999999999,1.16622,1.16629,84,2,0
2026-05-14 23:40:00,1.16629,1.16649,1.16627,1.16644,114,2,0
2026-05-14 23:50:00,1.16644,1.16644,1.1661299999999999,1.16616,138,2,0
2026-05-15 00:00:00,1.16616,1.16627,1.1657,1.166,618,2,0
2026-05-15 00:10:00,1.166,1.16634,1.16593,1.16627,317,2,0
2026-05-15 00:20:00,1.16627,1.16627,1.16587,1.16588,263,2,0
2026-05-15 00:30:00,1.16588,1.16591,1.16544,1.16554,359,2,0
2026-05-15 00:40:00,1.16554,1.16556,1.16526,1.16544,324,2,0
2026-05-15 00:50:00,1.16544,1.16564,1.16521,1.16553,415,2,0
2026-05-15 01:00:00,1.16553,1.16564,1.16537,1.16557,383,2,0
2026-05-15 01:10:00,1.16557,1.16558,1.16532,1.1654200000000001,454,2,0
2026-05-15 01:20:00,1.1654200000000001,1.16544,1.16491,1.16492,650,2,0
2026-05-15 01:30:00,1.16492,1.16515,1.16459,1.16507,809,2,0
2026-05-15 01:40:00,1.16507,1.1652,1.16483,1.16488,403,2,0
2026-05-15 01:50:00,1.16488,1.16492,1.16466,1.16468,437,2,0
2026-05-15 02:00:00,1.16468,1.16482,1.16456,1.16482,405,2,0
2026-05-15 02:10:00,1.16482,1.165,1.16474,1.165,176,2,0
2026-05-15 02:20:00,1.165,1.16535,1.16498,1.16509,217,2,0
2026-05-15 02:30:00,1.16509,1.16529,1.16503,1.16514,223,2,0
2026-05-15 02:40:00,1.16514,1.16544,1.16514,1.16535,120,2,0
2026-05-15 02:50:00,1.16535,1.16574,1.16532,1.16534,311,2,0
2026-05-15 03:00:00,1.16534,1.1655,1.16517,1.16525,235,2,0
2026-05-15 03:10:00,1.16525,1.16533,1.16505,1.16512,196,2,0
2026-05-15 03:20:00,1.16512,1.16525,1.16509,1.16524,122,2,0
2026-05-15 03:30:00,1.16524,1.1653,1.16499,1.1651799999999999,235,2,0
2026-05-15 03:40:00,1.1651799999999999,1.16535,1.16517,1.16521,126,2,0
2026-05-15 03:50:00,1.16521,1.16525,1.16514,1.1652,129,2,0
2026-05-15 04:00:00,1.1652,1.1652,1.16505,1.16517,129,2,0
2026-05-15 04:10:00,1.16517,1.16525,1.16515,1.1651799999999999,93,2,0
2026-05-15 04:20:00,1.1651799999999999,1.16523,1.16514,1.16516,146,2,0
2026-05-15 04:30:00,1.16516,1.16519,1.16498,1.1650800000000001,176,2,0
2026-05-15 04:40:00,1.1650800000000001,1.16514,1.1648399999999999,1.16493,226,2,0
2026-05-15 04:50:00,1.16493,1.16495,1.16463,1.16471,294,2,0
2026-05-15 05:00:00,1.16472,1.16474,1.16434,1.16442,562,2,0
2026-05-15 05:10:00,1.16442,1.1646,1.16428,1.16435,584,2,0
2026-05-15 05:20:00,1.16435,1.16479,1.16435,1.16473,345,2,0
2026-05-15 05:30:00,1.16473,1.16474,1.16449,1.1646,407,2,0
2026-05-15 05:40:00,1.1646,1.16475,1.16345,1.1636199999999999,761,2,0
2026-05-15 05:50:00,1.1636199999999999,1.16387,1.1632500000000001,1.16326,645,2,0
2026-05-15 06:00:00,1.1632500000000001,1.16435,1.16324,1.16429,749,2,0
2026-05-15 06:10:00,1.16429,1.1643,1.16389,1.16414,550,2,0
2026-05-15 06:20:00,1.16414,1.1642299999999999,1.16376,1.16381,593,2,0
2026-05-15 06:30:00,1.16381,1.16432,1.16369,1.16394,601,2,0
2026-05-15 06:40:00,1.16394,1.1642000000000001,1.16374,1.16415,378,2,0
2026-05-15 06:50:00,1.16415,1.16415,1.16327,1.16349,604,2,0
2026-05-15 07:00:00,1.16349,1.16432,1.16318,1.16419,724,2,0
2026-05-15 07:10:00,1.16419,1.16459,1.16416,1.1644,467,2,0
2026-05-15 07:20:00,1.1644,1.16489,1.16416,1.16425,526,2,0
2026-05-15 07:30:00,1.16425,1.1643,1.16394,1.1641,410,2,0
2026-05-15 07:40:00,1.1641,1.1641,1.16374,1.16375,411,2,0
2026-05-15 07:50:00,1.16375,1.1641,1.16358,1.16365,452,2,0
2026-05-15 08:00:00,1.16365,1.16382,1.16344,1.16364,590,2,0
2026-05-15 08:10:00,1.16364,1.16365,1.1631,1.16334,473,2,0
2026-05-15 08:20:00,1.16334,1.1634,1.1632,1.16326,472,2,0
2026-05-15 08:30:00,1.16326,1.16341,1.16309,1.16324,568,2,0
2026-05-15 08:40:00,1.16324,1.16364,1.16309,1.16348,530,2,0
